route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
30-13183,JUNE24-D13CAR-3_Sunday,70030008210638-JUNE24,,0,0305100,300821_JUNE24,59962441-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008211618-JUNE24,,0,0305200,300821_JUNE24,59962442-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201056-JUNE24,,1,0300100,300820_JUNE24,59962443-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201525-JUNE24,,1,0300100,300820_JUNE24,59962444-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201711-JUNE24,,1,0305500,300820_JUNE24,59962445-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201440-JUNE24,,1,0300200,300820_JUNE24,59962446-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201540-JUNE24,,1,0305400,300820_JUNE24,59962447-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201610-JUNE24,,1,0300300,300820_JUNE24,59962448-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201726-JUNE24,,1,0305200,300820_JUNE24,59962449-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201656-JUNE24,,1,0300200,300820_JUNE24,59962450-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008211633-JUNE24,,0,0300100,300821_JUNE24,59962451-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008210820-JUNE24,,0,0300300,300821_JUNE24,59962452-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201741-JUNE24,,1,0300100,300820_JUNE24,59962453-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008222440-JUNE24,,0,0309811,300822_JUNE24,59962454-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201455-JUNE24,,1,0305500,300820_JUNE24,59962455-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201510-JUNE24,,1,0305200,300820_JUNE24,59962456-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008211603-JUNE24,,0,0305500,300821_JUNE24,59962457-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201625-JUNE24,,1,0305100,300820_JUNE24,59962458-JUNE24-D13CAR-3_Sunday
